Rock/Flying,0.5,1,0.5,0.5,0,2,0.5,1,2,0.5,2,1,2,1,2,1,1,1
Rock/Ice,0.5,4,0.5,0.5,2,2,1,1,4,1,2,2,1,1,0.5,1,1,1
Ice/Flying,1,1,1,1,0,4,0.5,1,2,2,1,0.5,2,1,1,1,1,1
Ground/Psychic,1,0.5,1,0.5,0,0.5,2,2,1,1,2,2,0,0.5,2,1,2,1
Normal/Water,1,2,1,1,1,1,1,0,0.5,0.5,0.5,2,2,1,0.5,1,1,1
Dark/Steel,0.5,4,0.5,0,2,0.5,1,0.5,0.5,2,1,0.5,1,0,0.5,0.5,0.5,1
Fire/Fighting,1,1,2,1,2,1,0.25,1,0.5,0.5,2,0.5,1,2,0.5,1,0.5,1
Grass/Fighting,1,1,4,2,0.5,0.5,1,1,1,2,0.5,0.5,0.5,2,2,1,0.5,2
Grass/Poison,1,0.5,2,1,1,1,1,1,1,2,0.5,0.25,0.5,2,2,1,1,0.5
Bug/Flying,1,0.25,2,1,0,4,0.5,1,1,2,1,0.25,2,1,2,1,1,1
Fire/Ground,1,1,1,0.5,2,1,0.5,1,0.5,0.5,4,1,0,1,1,1,1,0.5
Rock/Fairy,0.5,1,0.5,1,2,1,0.5,1,4,0.5,2,2,1,1,1,0,0.5,1
Bug,1,0.5,2,1,0.5,2,1,1,1,2,1,0.5,1,1,1,1,1,1
Fire/Flying,1,0.5,1,1,0,4,0.25,1,0.5,0.5,2,0.25,2,1,1,1,1,0.5
Fire,1,1,1,1,2,2,0.5,1,0.5,0.5,2,0.5,1,1,0.5,1,1,0.5
Fairy,1,0.5,1,2,1,1,0.5,1,2,1,1,1,1,1,1,0,0.5,1
Grass/Fairy,1,0.5,2,4,0.5,1,1,1,2,2,0.5,0.5,0.5,1,2,0,0.5,1
Poison/Fighting,1,0.5,2,0.5,2,0.5,0.25,1,1,1,1,0.5,1,4,1,1,0.5,1
Electric/Fairy,1,0.5,0.5,2,2,1,0.5,1,1,1,1,1,0.5,1,1,0,0.5,1
Dark/Dragon,1,2,1,1,1,1,2,0.5,1,0.5,0.5,0.5,0.5,0,2,2,0.5,4
Fire/Psychic,1,0.5,1,1,2,2,1,2,0.5,0.5,2,0.5,1,0.5,0.5,1,2,0.5
Water/Ice,1,2,1,1,1,2,1,1,1,1,0.5,2,2,1,0.25,1,1,1
Steel/Dragon,0.5,2,0.5,0,2,0.5,0.5,1,0.5,1,0.5,0.25,0.5,0.5,1,1,1,1
Normal/Ground,1,2,1,0.5,1,0.5,1,0,1,1,2,2,0,1,2,1,1,1
Poison/Dragon,1,0.5,1,0.5,2,1,0.5,1,1,0.5,0.5,0.25,0.5,2,2,2,1,1
Dragon/Flying,1,0.5,1,1,0,2,0.5,1,1,0.5,0.5,0.25,1,1,4,2,1,2
Dragon,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,1,2,2,1,2
Ghost/Flying,0,0,1,0.5,0,2,0.25,2,1,1,1,0.5,2,1,2,1,2,1
Water/Steel,0.5,2,0.5,0,2,0.5,0.5,1,0.25,1,0.5,1,2,0.5,0.25,0.5,1,0.5
Grass/Psychic,1,0.5,2,2,0.5,1,4,2,1,2,0.5,0.5,0.5,0.5,2,1,2,1
Grass/Steel,0.5,2,1,0,1,0.5,1,1,0.5,4,0.5,0.25,0.5,0.5,1,0.5,1,0.5
Water/Ghost,0,0,1,0.5,1,1,0.5,2,0.5,0.5,0.5,2,2,1,0.5,1,2,1
Ice/Ghost,0,0,1,0.5,1,2,0.5,2,2,2,1,1,1,1,0.5,1,2,1
Rock/Ground,0.5,2,0.5,0.25,2,0.5,1,1,2,0.5,4,4,0,1,2,1,1,1
Normal/Psychic,1,1,1,1,1,1,2,0,1,1,1,1,1,0.5,1,1,2,1
Ghost/Dragon,0,0,1,0.5,1,1,0.5,2,1,0.5,0.5,0.5,0.5,1,2,2,2,2
Ground/Flying,1,0.5,1,0.5,0,1,0.5,1,1,1,2,1,0,1,4,1,1,1
Ground/Ghost,0,0,1,0.25,1,0.5,0.5,2,1,1,2,2,0,1,2,1,2,1
Water/Flying,1,0.5,1,1,0,2,0.5,1,0.5,0.5,0.5,1,4,1,1,1,1,1
Ghost/Poison,0,0,1,0.25,0,1,0.25,2,1,1,1,0.5,1,2,1,1,2,0.5
Fighting/Flying,1,0.5,2,1,0,1,0.25,1,1,1,1,0.5,2,2,2,1,0.5,2
Fire/Steel,0.5,2,0.5,0,4,1,0.25,1,0.25,1,2,0.25,1,0.5,0.25,0.5,1,0.25
Electric/Normal,1,2,0.5,1,2,1,1,0,0.5,1,1,1,0.5,1,1,1,1,1
Bug/Fighting,1,0.5,4,1,0.5,1,0.5,1,1,2,1,0.5,1,2,1,1,0.5,2
Steel/Ghost,0,0,0.5,0,2,0.5,0.25,2,0.5,2,1,0.5,1,0.5,0.5,0.5,2,0.5
Grass/Flying,1,0.5,2,2,0,2,1,1,1,2,0.5,0.25,1,1,4,1,1,1
Dark/Fire,1,2,1,1,2,2,1,0.5,0.5,0.5,2,0.5,1,0,0.5,1,0.5,1
Dark/Psychic,1,1,1,1,1,1,4,1,1,1,1,1,1,0,1,1,1,2
Normal/Fairy,1,1,1,2,1,1,0.5,0,2,1,1,1,1,1,1,0,0.5,1
Steel/Psychic,0.5,1,0.5,0,2,0.5,1,2,0.5,2,1,0.5,1,0.25,0.5,0.5,2,0.5
Bug/Electric,1,0.5,1,1,1,2,1,1,0.5,2,1,0.5,0.5,1,1,1,1,1
